"n_AB","method","Mean_Bias","Mean_RMSE","Mean_Coverage","Mean_ESS"
100,"Bucher",-0.135697988252976,0.485888799979359,0.934444444444444,100
100,"EbArm",-0.0881924398707594,2.41137072591141,0.911666666666667,56.6688152305312
100,"EbEL",-0.0423054918079924,0.746288572853917,0.906222222222222,52.7120079304917
100,"EbTotal",-0.0362264539241034,0.627628981787531,0.934333333333333,62.1541341494264
100,"SigTotal",-0.0362264539243934,0.627628981780906,0.934333333333333,62.154134149029
300,"Bucher",-0.129389930101587,0.340628047824963,0.912388888888889,300
300,"EbArm",-0.0273216306503705,0.359818330969305,0.957111111111111,186.289856593332
300,"EbEL",-0.03515239785366,0.497584135992679,0.921722222222222,149.465901726658
300,"EbTotal",-0.0290523289886499,0.373981195079115,0.946722222222222,191.838308474226
300,"SigTotal",-0.0290523289886499,0.373981195079115,0.946722222222222,191.838308474226
500,"Bucher",-0.124728143219793,0.300912570724155,0.901111111111111,500
500,"EbArm",-0.0250950663934722,0.29367604841273,0.959666666666667,314.512975856836
500,"EbEL",-0.0316738864587907,0.441045425926124,0.924555555555556,237.203341688433
500,"EbTotal",-0.0252235157414613,0.307538620613559,0.948166666666667,320.914350119434
500,"SigTotal",-0.0252235157418546,0.307538620612527,0.948166666666667,320.914350119981
