"scenario_id","n_AB","n_covariates","population_overlap","effect_modifiers","method","bias","rmse","coverage","ess_mean","convergence_rate"
"S046",100,6,"high","two","EbEL",-0.033767327006647,0.483250733102371,0.954,85.6946157631193,1
"S046",100,6,"high","two","EbTotal",-0.0342987465176742,0.479118777592139,0.954,88.1952025060989,1
"S046",100,6,"high","two","SigTotal",-0.0342987465044179,0.479118777623404,0.954,88.1952025057324,1
"S047",300,6,"high","two","Bucher",-0.0982888989048823,0.313205360594382,0.935,300,1
"S047",300,6,"high","two","EbArm",-0.0425018571496562,0.287944678598091,0.97,265.589953237042,1
"S047",300,6,"high","two","EbEL",-0.0426460487195975,0.307767082196263,0.953,269.662149040711,1
"S047",300,6,"high","two","EbTotal",-0.0433818179823629,0.306161543959568,0.953,275.3110591825,1
"S047",300,6,"high","two","SigTotal",-0.0433818179823629,0.306161543959568,0.953,275.3110591825,1
"S048",500,6,"high","two","Bucher",-0.0873023427792373,0.275615810158141,0.936,500,1
"S048",500,6,"high","two","EbArm",-0.0292073887261815,0.250541585076073,0.965,451.133837081661,1
"S048",500,6,"high","two","EbEL",-0.0274038306921601,0.268477669575535,0.946,454.96934809484,1
"S048",500,6,"high","two","EbTotal",-0.0284431947469341,0.267992555725792,0.945,463.201321615681,1
"S048",500,6,"high","two","SigTotal",-0.0284431947469341,0.267992555725792,0.945,463.201321615681,1
"S049",100,6,"medium","two","Bucher",-0.197577645144378,0.487178180838456,0.929,100,1
"S049",100,6,"medium","two","EbArm",-0.0375461509720373,1.1825999177521,0.949,59.6093581560294,0.997
"S049",100,6,"medium","two","EbEL",-0.0596978546910133,0.604389902170881,0.93,55.4368188380712,1
"S049",100,6,"medium","two","EbTotal",-0.0567135954860898,0.539422858373895,0.944,66.7753056616131,1
"S049",100,6,"medium","two","SigTotal",-0.0567135954813735,0.539422858388221,0.944,66.7753056625558,1
"S050",300,6,"medium","two","Bucher",-0.175658674264971,0.3476224278909,0.902,300,1
"S050",300,6,"medium","two","EbArm",-0.0225797194508506,0.323180284204145,0.958,200.213889692699,1
"S050",300,6,"medium","two","EbEL",-0.0236603454818547,0.379461521436746,0.95,151.217966182959,1
"S050",300,6,"medium","two","EbTotal",-0.0213166477483807,0.337454538719756,0.953,208.673989200758,1
"S050",300,6,"medium","two","SigTotal",-0.0213166477483807,0.337454538719756,0.953,208.673989200758,1
"S051",500,6,"medium","two","Bucher",-0.193437740179232,0.321445710816843,0.878,500,1
"S051",500,6,"medium","two","EbArm",-0.0400582852663924,0.266731417739798,0.965,342.025776268627,1
"S051",500,6,"medium","two","EbEL",-0.0404545537461755,0.325882128919691,0.941,228.610829064469,1
"S051",500,6,"medium","two","EbTotal",-0.0460963017344809,0.281078083000275,0.955,352.285670524845,1
"S051",500,6,"medium","two","SigTotal",-0.0460963017349213,0.281078083009495,0.955,352.28567052884,1
"S052",100,6,"low","two","Bucher",-0.352713498575811,0.569762978062969,0.894,100,1
"S052",100,6,"low","two","EbArm",-0.13961859026957,9.8932128751523,0.739,20.4390056384644,0.769
"S052",100,6,"low","two","EbEL",-0.0161164188689087,1.11306085218212,0.866,15.5513305326705,1
"S052",100,6,"low","two","EbTotal",-0.00422348663280533,0.835885716580609,0.933,27.6622129359559,1
"S052",100,6,"low","two","SigTotal",-0.00422348663354816,0.835885716596855,0.933,27.6622129361723,1
"S053",300,6,"low","two","Bucher",-0.325154726204278,0.44415789396754,0.81,300,1
"S053",300,6,"low","two","EbArm",-0.0275058192036539,0.454573041280384,0.956,82.6516061440047,1
"S053",300,6,"low","two","EbEL",-0.0406061195305591,0.756363566819438,0.873,29.8627539627466,1
"S053",300,6,"low","two","EbTotal",-0.0242962425325958,0.475770624492123,0.954,86.0886145646941,1
"S053",300,6,"low","two","SigTotal",-0.0242962425325958,0.475770624492123,0.954,86.0886145646941,1
"S054",500,6,"low","two","Bucher",-0.332938015847102,0.416237699314049,0.752,500,1
"S054",500,6,"low","two","EbArm",-0.0343411692281493,0.344115884962716,0.975,139.291760129909,1
"S054",500,6,"low","two","EbEL",-0.0770564165752244,0.658220786133494,0.892,36.6972530422284,1
"S054",500,6,"low","two","EbTotal",-0.0343760606805923,0.367313531466539,0.95,142.318694636179,1
"S054",500,6,"low","two","SigTotal",-0.0343760606829277,0.367313531473507,0.95,142.318694636479,1
